"","datetime","ValidID","Forecast"
"18543",2019-02-27 18:30:00,5331,38.4115257263184
"18557",2019-02-27 18:30:00,5332,38.4115257263184
"18564",2019-02-27 18:30:00,5333,38.4115257263184
"18584",2019-02-27 18:30:00,5334,40.3897399902344
"18593",2019-02-27 18:30:00,5335,40.3897399902344
"18533",2019-02-27 18:30:00,5336,40.7242660522461
"18510",2019-02-27 18:30:00,5337,40.7242660522461
"18572",2019-02-27 18:30:00,5339,40.8849601745605
"18580",2019-02-27 18:30:00,5340,41.0682258605957
"18505",2019-02-27 18:30:00,5341,41.1228828430176
"18525",2019-02-27 18:30:00,5342,66.518928527832
"18587",2019-02-27 18:30:00,5343,66.5155563354492
"18552",2019-02-27 18:30:00,5344,66.5155563354492
"18518",2019-02-27 18:30:00,5345,66.5155563354492
"18579",2019-02-27 18:30:00,5346,66.5155563354492
"18545",2019-02-27 18:30:00,5353,66.5157318115234
"18542",2019-02-27 18:30:00,6811,66.5283279418945
"18547",2019-02-27 18:30:00,6812,66.5283279418945
"18541",2019-02-27 18:30:00,6813,66.5283279418945
"18594",2019-02-27 18:30:00,6831,66.5283279418945
"18527",2019-02-27 18:45:00,5324,38.3681907653809
"18536",2019-02-27 18:45:00,5325,38.3681907653809
"18528",2019-02-27 18:45:00,5327,38.3681907653809
"18537",2019-02-27 18:45:00,5330,38.4251518249512
"18544",2019-02-27 18:45:00,5331,38.4251518249512
"18571",2019-02-27 18:45:00,5332,38.4251518249512
"18578",2019-02-27 18:45:00,5333,38.4251518249512
"18585",2019-02-27 18:45:00,5334,40.3704833984375
"18551",2019-02-27 18:45:00,5335,40.3704833984375
"18534",2019-02-27 18:45:00,5336,40.7050094604492
"18520",2019-02-27 18:45:00,5337,40.704833984375
"18590",2019-02-27 18:45:00,5339,40.8817291259766
"18568",2019-02-27 18:45:00,5340,41.0649948120117
"18512",2019-02-27 18:45:00,5341,41.1196517944336
"18569",2019-02-27 18:45:00,5342,67.1521911621094
"18599",2019-02-27 18:45:00,5343,67.1477737426758
"18583",2019-02-27 18:45:00,5344,67.1477737426758
"18575",2019-02-27 18:45:00,5345,67.1477737426758
"18597",2019-02-27 18:45:00,5346,67.1477737426758
"18576",2019-02-27 18:45:00,5353,67.1484603881836
"18530",2019-02-27 18:45:00,6811,67.1649398803711
"18535",2019-02-27 18:45:00,6812,67.1649398803711
"18529",2019-02-27 18:45:00,6813,67.1649398803711
"18586",2019-02-27 18:45:00,6831,67.1649398803711
